agency_ref,name,address1,address2,city,state,county_name,zip,phone,email,tefap,latitude,longitude,Date_of_Last_SO,TEFAP_Auto_Eligible,TEFAP_Income_Levels,ObjectId,Day of week,Hours,ByAppointmentOnly,ResidentsOnly,Notes,Reqs,start1,start2,start3,end1,end2,end3,Frequency,Additional_Notes,Start_Time,End_Time
14030-PART-01,So Others Might Eat,71 O ST NW,,Washington,DC,DC Ward 5,20002,(202) 235-1472,dking@some.org,TEFAP Available,38.90825,-77.011103,2025-03-07,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,2,Monday,9:00 AM to 11:00 AM; Every week,No,No,, ,9:00:00,12:00:00,,11:00:00,14:00:00,,Every week,,09:00:00,11:00:00
21860-PART-01,"So What Else, Inc",4924 wyaconda road,,Rockville,MD,MD Montgomery County,20852,(301) 252-1501,abonney@sowhatelse.org,Non-TEFAP,39.153782,-77.204246,2025-04-03,N/A,N/A,128,Tuesday,8:00 AM to 6:00 PM; Every week,Yes,No,None, ,8:00:00,,,18:00:00,,,Every week,,08:00:00,18:00:00
22308-PART-01,LindaBen Foundation,10739 Tucker St.,,Beltsville,MD,MD Prince George's County,20705,(646) 420-0787,abeavan@lindabenfoundation.org,TEFAP Available,38.965111,-76.866143,2025-04-22,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,134,Tuesday,12:00 PM to 3:00 PM; Every week,No,No,, ,12:00:00,17:00:00,,15:00:00,18:00:00,,Every week,,12:00:00,15:00:00
22308-PART-01,LindaBen Foundation,10739 Tucker St.,,Beltsville,MD,MD Prince George's County,20705,(646) 420-0787,abeavan@lindabenfoundation.org,TEFAP Available,38.965111,-76.866143,2025-04-22,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,134,Tuesday,5:00 PM to 6:00 PM; Every week (Note: We provided Baby Essentials too),,, (Note: We provided Baby Essentials too), ,12:00:00,17:00:00,,15:00:00,18:00:00,,Every week,Note: We provided Baby Essentials too,17:00:00,18:00:00
14770-PART-01,Food For Others,2938 Prosperity Avenue,,Fairfax,VA,VA Fairfax County,22031,(703) 207-9173,afrazier@foodforothers.org,TEFAP Available,38.871247,-77.237674,2025-04-21,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,137,Tuesday,9:30 AM to 5:00 PM; Every week (Note: We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.),No,No, (Note: We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.), ,9:30:00,,,17:00:00,,,Every week,Note: We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.,09:30:00,17:00:00
19758-PART-01,Ebenezer Baptist Church,13020 Telegraph Road,,Woodbridge,VA,VA Prince William County,22192,(703) 221-3323,vylsubb@aol.com,TEFAP Available,38.669589,-77.284592,2025-03-28,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,139,Tuesday,10:30 AM to 12:30 PM; Every week,Yes,No,None, ,10:30:00,,,12:30:00,,,Every week,,10:30:00,12:30:00
22207-PART-01,Burke United Methodist Church,6200 Burke Centre Parkway,,Burke,VA,VA Fairfax County,22015,(703) 250-6100,katieglick@burkeumc.org,Non-TEFAP,38.78409,-77.280702,2025-04-11,N/A,N/A,141,Tuesday,1:00 PM to 2:00 PM; Every week,No,No,None, ,13:00:00,,,14:00:00,,,Every week,,13:00:00,14:00:00
19240-PUSH-01,Rising Hope Mission Church,8220 Russell Rd,,Alexandria,VA,VA Fairfax County,22309,(703) 360-1976,rburbano@risinghopeumc.org,Non-TEFAP,38.734038,-77.1016,2025-04-08,N/A,N/A,146,Tuesday,12:30 PM to 2:30 PM; 2nd of the Month,No,No,None, ,12:30:00,,,14:30:00,,,2nd of the Month,,12:30:00,14:30:00
19236-PART-01,Bull Run Unitarian Universalists,9350 Main Street,,Manassas,VA,VA Manassas City,20110,(703) 361-6269,TerrieMcClure@gmail.com,TEFAP Available,38.751623,-77.47195,2025-04-14,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,149,Tuesday,9:30 AM to 11:30 AM; 2nd and 4th of the Month,Yes,No,None, ,9:30:00,,,11:30:00,,,2nd and 4th of the Month,,09:30:00,11:30:00
22293-MOMK-01,Chantilly Baptist Church,14312 Chantilly Baptist Ln,,Chantilly,VA,VA Fairfax County,220175,(703) 378-6880,sillebt@comcast.net,Non-TEFAP,38.899721,-77.442924,2025-04-22,N/A,N/A,151,Tuesday,1:30 PM to 3:30 PM; 4th of the Month,No,No,None, ,13:30:00,,,15:30:00,,,4th of the Month,,13:30:00,15:30:00
19761-PART-01,Salvation Army (Fairfax),4915 Ox Road,,Fairfax,VA,VA Fairfax County,22030,(703) 385-8700,Jowens.merone@uss.salvationarmy.org,Non-TEFAP,38.822494,-77.316266,2025-03-24,N/A,N/A,152,Tuesday,9:00 AM to 4:00 PM; Every week,No,Yes,None, ,9:00:00,,,16:00:00,,,Every week,,09:00:00,16:00:00
19645-PART-01,ADAMS CENTER,46903 Sugarland Road,,Sterling,VA,**Outside CAFB Service Area**,20164,(703) 433-1325,suheir.kafri@adamscenter.org,Non-TEFAP,39.006436,-77.379334,2025-04-10,N/A,N/A,154,Tuesday,10:00 AM to 5:00 PM; Every week,Yes,No,None, ,10:00:00,,,17:00:00,,,Every week,,10:00:00,17:00:00
16850-PUSH-01,Christ the Redeemer Catholic Church,46833 Harry Byrd Hwy,,Sterling,VA,**Outside CAFB Service Area**,20164,(703) 437-1776,lisalombo@signaturecos.com,Non-TEFAP,39.017799,-77.379318,2025-04-08,N/A,N/A,155,Tuesday,10:00 AM to 11:30 AM; 2nd of the Month,No,No,None, ,10:00:00,,,11:30:00,,,2nd of the Month,,10:00:00,11:30:00
14590-PART-01,ACTS,3901 ACTS Lane,,Dumfries,VA,VA Prince William County,22026,(703) 441-8606,scouteau@actspwc.org,TEFAP Available,38.563107,-77.329021,2025-04-09,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,156,Tuesday,"1:00 PM to 3:30 PM; Every week (Note: Service Area: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193)",No,Yes," (Note: Service Area: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193)", ,13:00:00,17:00:00,,15:30:00,19:00:00,,Every week,"Note: Service Area: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193",13:00:00,15:30:00
14590-PART-01,ACTS,3901 ACTS Lane,,Dumfries,VA,VA Prince William County,22026,(703) 441-8606,scouteau@actspwc.org,TEFAP Available,38.563107,-77.329021,2025-04-09,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,156,Tuesday,"5:00 PM to 7:00 PM; Every week (Note: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193)",,," (Note: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193)", ,13:00:00,17:00:00,,15:30:00,19:00:00,,Every week,"Note: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193",17:00:00,19:00:00
19313-PART-01,Sydenstricker UMC,8508 Hooes Road,,Springfield,VA,VA Fairfax County,22153,(703) 451-8223,RMRKTR@aol.com,Non-TEFAP,38.756274,-77.239231,2025-04-21,N/A,N/A,157,Tuesday,3:00 PM to 6:00 PM; 2nd of the Month (Note: You must be in line by 6:00 p.m. to receive food.),No,No, (Note: You must be in line by 6:00 p.m. to receive food.), ,15:00:00,,,18:00:00,,,2nd of the Month,Note: You must be in line by 6:00 p.m. to receive food.,15:00:00,18:00:00
19313-PART-01,Sydenstricker UMC,8508 Hooes Road,,Springfield,VA,VA Fairfax County,22153,(703) 451-8223,RMRKTR@aol.com,Non-TEFAP,38.756274,-77.239231,2025-04-21,N/A,N/A,157,Tuesday,3:00 PM to 6:00 PM; 4th of the Month (Note: You must be in line by 6:00 p.m. to receive food.),,, (Note: You must be in line by 6:00 p.m. to receive food.), ,15:00:00,,,18:00:00,,,4th of the Month,Note: You must be in line by 6:00 p.m. to receive food.,15:00:00,18:00:00
19842-PART-01,Mother of Light Center,421 Clifford Ave,,Alexandria,VA,VA City of Alexandria,22305,(703) 508-5289,alvarado.matilde@gmail.com,TEFAP Available,38.831961,-77.051974,2025-04-15,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,162,Tuesday,10:00 AM to 1:00 PM; Every week,Yes,Yes,, ,10:00:00,,,13:00:00,,,Every week,,10:00:00,13:00:00
19842-PART-01,Mother of Light Center,421 Clifford Ave,,Alexandria,VA,VA City of Alexandria,22305,(703) 508-5289,alvarado.matilde@gmail.com,TEFAP Available,38.831961,-77.051974,2025-04-15,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,162,Tuesday,10:00 AM to 1:00 PM; Every week,No,,, ,10:00:00,,,13:00:00,,,Every week,,10:00:00,13:00:00
15620-PART-01,Grace Episcopal Church,3601 Russell Road,,Alexandria,VA,VA City of Alexandria,22305,(703) 549-1980,kristine.hesse@gracealex.org,Non-TEFAP,38.837432,-77.064802,2025-04-09,N/A,N/A,167,Tuesday,6:00 PM to 7:30 PM; Every week,No,No,None, ,18:00:00,,,19:30:00,,,Every week,,18:00:00,19:30:00
21711-PART-01,La Iglesia Episcopal de Santa Maria,7000 Arlington Blvd,,Falls Church,VA,VA Fairfax County,22042,(703) 593-7972,erickamasias@outlook.com,TEFAP Available,38.868448,-77.185906,2025-04-01,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,174,Tuesday,4:00 PM to 6:00 PM; 1st and 3rd of the Month,No,No,None, ,16:00:00,,,18:00:00,,,1st and 3rd of the Month,,16:00:00,18:00:00
16840-MOMK-01,Woodrow Wilson Library,6101 Knollwood Dr,,Falls Church,VA,VA Fairfax County,22041,(703) 778-3450,catherine@justice4all.org,Non-TEFAP,38.851276,-77.142993,2025-04-07,N/A,N/A,180,Tuesday,11:00 AM to 1:00 PM; 1st and 4th of the Month,No,No,None, ,11:00:00,,,13:00:00,,,1st and 4th of the Month,,11:00:00,13:00:00
19507-PART-01,Haymarket Regional Food Pantry,7669 Limestone Drive,,Gainesville,VA,VA Prince William County,20155,(703) 795-4892,efsmith11@gmail.com,Non-TEFAP,38.790517,-77.598066,2025-03-27,N/A,N/A,182,Tuesday,5:00 PM to 8:30 PM; Every week,No,No,, ,17:00:00,,,20:30:00,,,Every week,,17:00:00,20:30:00
19507-PART-01,Haymarket Regional Food Pantry,7669 Limestone Drive,,Gainesville,VA,VA Prince William County,20155,(703) 795-4892,efsmith11@gmail.com,Non-TEFAP,38.790517,-77.598066,2025-03-27,N/A,N/A,182,Tuesday,5:00 PM to 8:30 PM; Every week,Yes,,, ,17:00:00,,,20:30:00,,,Every week,,17:00:00,20:30:00
16705-PART-01,Bread & Fishes,3890 Cameron Street,,Dumfries,Va,VA Prince William County,22026,(703) 819-8882,ChrystalWoodard@vaumc.org,Non-TEFAP,38.568722,-77.32894,2025-03-13,N/A,N/A,183,Tuesday,5:00 PM to 6:00 PM; Every week,No,No,None, ,17:00:00,,,18:00:00,,,Every week,,17:00:00,18:00:00
19488-PART-01,"Koinonia Foundation, Inc.",6037 Franconia Road,,Alexandria,VA,VA Fairfax County,22310,(703) 971-1991,judy@koinoniacares.org,Non-TEFAP,38.782088,-77.144471,2025-04-14,N/A,N/A,194,Tuesday,9:00 AM to 12:30 PM; Every week (Note: Must live in service area.  Call to check.),No,Yes, (Note: Must live in service area.  Call to check.), ,9:00:00,,,12:30:00,,,Every week,Note: Must live in service area.  Call to check.,09:00:00,12:30:00
19240-PART-01,Rising Hope Methodist Mission Church,8220 Russell Road,,Alexandria,VA,VA Fairfax County,22309,(719) 310-3277,rburbano@risinghopeumc.org,TEFAP Available,38.734038,-77.1016,2025-04-15,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,201,Tuesday,1:30 PM to 4:30 PM; Every week,Yes,No,None, ,13:30:00,,,16:30:00,,,Every week,,13:30:00,16:30:00
16790-MOMK-01,Prince Georges Social Services - Gwynn Park High School,13800 Brandywine Road,,Brandywine,MD,MD Prince George's County,20613,(301) 372-1491,css1995@aol.com,Non-TEFAP,38.701958,-76.871103,2025-03-18,N/A,N/A,206,Tuesday,4:00 PM to 6:00 PM; 3rd of the Month,No,No,None, ,16:00:00,,,18:00:00,,,3rd of the Month,,16:00:00,18:00:00
17115-MOMK-01,Southern Hills Community Center,4212 4th St SE,,Washington,DC,DC Ward 8,20032,(202) 487-8862,momartin@winnco.com,Non-TEFAP,38.827774,-77.001939,2025-03-25,N/A,N/A,211,Tuesday,11:00 AM to 2:00 PM; 4th of the Month,No,No,None, ,11:00:00,,,14:00:00,,,4th of the Month,,11:00:00,14:00:00
16960-MOMK-01,Southern Friendship Missionary Baptist Church,4444 Branch Avenue,,Temple Hills,MD,MD Prince George's County,20748,(301) 423-6142,hagibson@comcast.net,Non-TEFAP,38.831197,-76.930902,2025-03-18,N/A,N/A,212,Tuesday,9:30 AM to 11:30 AM; 1st and 3rd of the Month,No,No,None, ,9:30:00,,,11:30:00,,,1st and 3rd of the Month,,09:30:00,11:30:00
18385-MOMK-01,Woodland Springs Apartment,6617 Atwood Street,,District Heights,MD,MD Prince George's County,20747,(301) 518-7397,tsingletary@reliantrs.com,Non-TEFAP,38.861083,-76.89249,2025-04-01,N/A,N/A,215,Tuesday,9:30 AM to 11:00 AM; 1st of the Month,No,No,None, ,9:30:00,,,11:00:00,,,1st of the Month,,09:30:00,11:00:00
19471-PUSH-01,Community Outreach and Development CDC,4715 Marlboro Pike,,Capitol Heights,MD,MD Prince George's County,20743,(301) 735-0121,cyoung@communityoutreachcdc.org,Non-TEFAP,38.873485,-76.932958,2025-03-28,N/A,N/A,216,Tuesday,11:00 AM to 1:00 PM; 2nd of the Month,No,No,None, ,11:00:00,,,13:00:00,,,2nd of the Month,,11:00:00,13:00:00
17105-MOMK-01,Inwood House,10921 Inwood Avenue,,Silver Spring,MD,MD Montgomery County,20902,(301) 649-6595,fsokunbi@inwoodhouse.org,Non-TEFAP,39.035258,-77.035613,2025-04-08,N/A,N/A,232,Tuesday,10:00 AM to 12:00 PM; 2nd of the Month,No,No,None, ,10:00:00,,,12:00:00,,,2nd of the Month,,10:00:00,12:00:00
19472-PUSH-01,Catholic Charities - Montgomery County Family Center,12247 Georgia Ave,,Silver Spring,MD,MD Montgomery County,20902,(202) 459-3294,ashley.uribe@cc-dc.org,Non-TEFAP,39.055996,-77.049604,2025-04-01,N/A,N/A,234,Tuesday,10:00 AM to 12:00 PM; 1st of the Month,No,No,None, ,10:00:00,,,12:00:00,,,1st of the Month,,10:00:00,12:00:00
22520-MOMK-01,City of Hyattsville,6201 Belcrest RD,,Hyattsville,MD,MD Prince George's County,20782,(240) 982-6964,psandoval@hyattsville.org,Non-TEFAP,38.964761,-76.951788,2025-04-15,N/A,N/A,236,Tuesday,10:00 AM to 12:00 PM; 3rd of the Month,No,No,None, ,10:00:00,,,12:00:00,,,3rd of the Month,,10:00:00,12:00:00
22731-PART-01,CFH Inc.,9021 Centreville Road,,Manassas,VA,VA City of Manassas,20110,(571) 201-6226,helen@cfhva.org,Non-TEFAP,38.75729,-77.46119,1970-01-01,N/A,N/A,247,Tuesday,3:00 PM to 5:00 PM; Every week (Note: For Residents of East End Mobile Home Park),No,Yes, (Note: For Residents of East End Mobile Home Park), ,15:00:00,16:00:00,,17:00:00,18:00:00,,Every week,Note: For Residents of East End Mobile Home Park,15:00:00,17:00:00
22731-PART-01,CFH Inc.,9021 Centreville Road,,Manassas,VA,VA City of Manassas,20110,(571) 201-6226,helen@cfhva.org,Non-TEFAP,38.75729,-77.46119,1970-01-01,N/A,N/A,247,Tuesday,4:00 PM to 6:00 PM; Every week (Note: This is for the Residents  of East End Mobile Home Park only),,No, (Note: This is for the Residents  of East End Mobile Home Park only), ,15:00:00,16:00:00,,17:00:00,18:00:00,,Every week,Note: This is for the Residents  of East End Mobile Home Park only,16:00:00,18:00:00
22863-PART-01,St. John's Community Service Center,7611 Little River Turnpike,,Annandale,VA,VA Fairfax County,22003,(571) 283-9231,lpuryear@sjcs.org,Non-TEFAP,38.83154,-77.20901,1970-01-01,N/A,N/A,248,Tuesday,10:00 AM to 4:00 PM; Every week,No,No,None, ,10:00:00,,,16:00:00,,,Every week,,10:00:00,16:00:00
22877-PART-01,True Ground Housing,4318 N Carlin Springs Road,,Arlington,VA,VA Arlington County,22203,(571) 733-9627,mjackson@apah.org,Non-TEFAP,38.876971,-77.112528,1970-01-01,N/A,N/A,249,Tuesday,10:00 AM to 6:00 PM; Every week,No,Yes,None, ,10:00:00,,,18:00:00,,,Every week,,10:00:00,18:00:00
23013-PART-01,Fairfax Church Resource Center,11451 Braddock Road,,Fairfax,VA,VA Fairfax County,22030,(703) 745-1030,valerienolan@fairfax.cc,Non-TEFAP,38.83288,-77.33937,1970-01-01,N/A,N/A,250,Tuesday,11:30 AM to 3:00 PM; Every week,Yes,No,None, ,11:30:00,,,15:00:00,,,Every week,,11:30:00,15:00:00
23030-PART-01,Living Faith Lutheran Church,1605 Veirs Mill Road,,Rockville,MD,MD Montgomery County,20851,(301) 424-8622,stevecorbin@verizon.net,Non-TEFAP,39.07661,-77.1232,1970-01-01,N/A,N/A,251,Tuesday,9:00 AM to Until Food Runs Out; Every Other Week,No,No,None, ,9:00:00,,,23:59:00,,,Every Other Week,,09:00:00,
23214-PART-01,Inova Cares Clinics,6400 Arlington Blvd,,Falls Church,VA,VA Fairfax County,22042,(703) 698-2552,kate.garsson@inova.org,Non-TEFAP,38.8725283,-77.1609022,1970-01-01,N/A,N/A,258,Tuesday,8:00 AM to 4:30 PM; Every week (Note: Must be a patient),No,No, (Note: Must be a patient), ,8:00:00,,,16:30:00,,,Every week,Note: Must be a patient,08:00:00,16:30:00
19601-PART-01,Silver Spring Christian Reformed Church,1501 Arcola Ave,,Silver Spring,MD,MD Montgomery County,20902,(301) 284-8401,foodpantry@sscrc.org,Non-TEFAP,39.045921,-77.03125,2025-04-07,N/A,N/A,262,Tuesday,3:00 PM to 5:00 PM; 2nd of the Month,No,No,, ,15:00:00,16:00:00,,17:00:00,19:00:00,,2nd of the Month,,15:00:00,17:00:00
19601-PART-01,Silver Spring Christian Reformed Church,1501 Arcola Ave,,Silver Spring,MD,MD Montgomery County,20902,(301) 284-8401,foodpantry@sscrc.org,Non-TEFAP,39.045921,-77.03125,2025-04-07,N/A,N/A,262,Tuesday,4:00 PM to 7:00 PM; 4th of the Month (Note: This distribution is by referral only.),Yes,, (Note: This distribution is by referral only.), ,15:00:00,16:00:00,,17:00:00,19:00:00,,4th of the Month,Note: This distribution is by referral only.,16:00:00,19:00:00
16175-PART-01,ISKCON of Washington,10310 Oaklyn Dr,,Potomac,MD,MD Montgomery County,20854,(301) 299-2100,sharmilabcs@gmail.com,Non-TEFAP,39.001844,-77.213822,2025-04-07,N/A,N/A,264,Tuesday,1:00 PM to 2:00 PM; Every week,No,No,, ,13:00:00,18:00:00,,14:00:00,19:00:00,,Every week,,13:00:00,14:00:00
16175-PART-01,ISKCON of Washington,10310 Oaklyn Dr,,Potomac,MD,MD Montgomery County,20854,(301) 299-2100,sharmilabcs@gmail.com,Non-TEFAP,39.001844,-77.213822,2025-04-07,N/A,N/A,264,Tuesday,6:00 PM to 7:00 PM; Every week,,,, ,13:00:00,18:00:00,,14:00:00,19:00:00,,Every week,,18:00:00,19:00:00
19868-PART-01,InterFaith Works,751 Twinbrook Pkwy,,Rockville,MD,MD Montgomery County,20852,(301) 315-1103,hubcoordinator@iworksmc.org,Non-TEFAP,39.082715,-77.114344,2025-04-15,N/A,N/A,266,Tuesday,9:00 AM to 4:00 PM; Every week,Yes,No,None, ,9:00:00,,,16:00:00,,,Every week,,09:00:00,16:00:00
19755-PART-01,"Mission of Love Charities, Inc.",6180 Central Avenue,,Capitol Heights,MD,MD Prince George's County,20743,(301) 333-4440,asorto@molc-inc.org,Non-TEFAP,38.886441,-76.903184,2025-04-11,N/A,N/A,271,Tuesday,8:30 AM to 3:30 PM; Every week (Note: Prepared Meals as well),No,No, (Note: Prepared Meals as well), ,8:30:00,,,15:30:00,,,Every week,Note: Prepared Meals as well,08:30:00,15:30:00
14850-PART-01,First Baptist Church of Capitol Heights,6 Capitol Heights Blvd,,Capitol Heights,MD,MD Prince George's County,20743,(301) 336-0722,fbcchfoodpantry@outlook.com,TEFAP Available,38.885204,-76.91388,2025-03-25,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,272,Tuesday,10:00 AM to 1:00 PM; Every Other Week,Yes,Yes,None, ,10:00:00,,,13:00:00,,,Every Other Week,,10:00:00,13:00:00
19846-PART-01,Hope Presbyterian Church,1100 Enterprise Road,,Mitchellville,MD,MD Prince George's County,20721,(301) 351-7637,nichi1994@yahoo.com,Non-TEFAP,38.904916,-76.797671,2025-04-08,N/A,N/A,274,Tuesday,12:00 PM to 1:30 PM; Every week (Note: Come around church to rear),No,No, (Note: Come around church to rear), ,12:00:00,,,13:30:00,,,Every week,Note: Come around church to rear,12:00:00,13:30:00
19076-PART-01,Greater New Hope Baptist Church,816 8th STREET NW,,Washington,DC,DC Ward 2,20001,(301) 357-4905,maryann007@earthlink.net,Non-TEFAP,38.900323,-77.023292,2025-04-04,N/A,N/A,278,Tuesday,11:00 AM to 1:00 PM; 2nd of the Month,No,No,, ,11:00:00,12:00:00,,13:00:00,14:00:00,,2nd of the Month,,11:00:00,13:00:00
19076-PART-01,Greater New Hope Baptist Church,816 8th STREET NW,,Washington,DC,DC Ward 2,20001,(301) 357-4905,maryann007@earthlink.net,Non-TEFAP,38.900323,-77.023292,2025-04-04,N/A,N/A,278,Tuesday,12:00 PM to 2:00 PM; 2nd of the Month,,,, ,11:00:00,12:00:00,,13:00:00,14:00:00,,2nd of the Month,,12:00:00,14:00:00
19775-PART-01,Bethesda Help,10100 Old Georgetown Road,,Bethesda,MD,MD Montgomery County,20814,(301) 365-2022,aeharvey1007@hotmail.com,Non-TEFAP,39.021234,-77.123385,2025-04-17,N/A,N/A,281,Tuesday,9:00 AM to 4:30 PM; Every week (Note: Clients must call to request food.  Drivers will delivery food within 48 hours),Yes,No, (Note: Clients must call to request food.  Drivers will delivery food within 48 hours), ,9:00:00,,,16:30:00,,,Every week,Note: Clients must call to request food.  Drivers will delivery food within 48 hours,09:00:00,16:30:00
16505-PART-01,City of Praise Family Ministries,8806 Brightseat Road,,Landover,MD,MD Prince George's County,20785,(301) 404-8234,nancystaten@aol.com,TEFAP Available,38.914319,-76.853332,2025-04-10,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,284,Tuesday,3:00 PM to 4:30 PM; 3rd of the Month,Yes,Yes,None, ,15:00:00,,,16:30:00,,,3rd of the Month,,15:00:00,16:30:00
16960-PART-01,Southern Friendship Missionary Baptist Church,4444 Branch Avenue,,Temple Hills,MD,MD Prince George's County,20748,(301) 423-6142,theyounguns5@verizon.net,Non-TEFAP,38.831197,-76.930902,2025-03-11,N/A,N/A,286,Tuesday,9:00 AM to 1:00 PM; 1st and 3rd of the Month,No,No,, ,9:00:00,10:00:00,,13:00:00,,,1st and 3rd of the Month,,09:00:00,13:00:00
16960-PART-01,Southern Friendship Missionary Baptist Church,4444 Branch Avenue,,Temple Hills,MD,MD Prince George's County,20748,(301) 423-6142,theyounguns5@verizon.net,Non-TEFAP,38.831197,-76.930902,2025-03-11,N/A,N/A,286,Tuesday,10:00 AM to 1:00 PM; 1st and 3rd of the Month,,,, ,9:00:00,10:00:00,,13:00:00,,,1st and 3rd of the Month,,10:00:00,13:00:00
19485-PART-01,Manna Food Center,9311 Gaither Rd,,Gaithersburg,MD,MD Montgomery County,20877,(301) 424-1130,edwin@mannafood.org,TEFAP Available,39.118337,-77.191909,2025-03-28,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,287,Tuesday,9:00 AM to 7:00 PM; Every week,No,Yes,None, ,9:00:00,,,19:00:00,,,Every week,,09:00:00,19:00:00
22697-PART-01,Mount Calvary Baptist Church,608 North Horners Lane,,Rockviille,MD,MD Montgomery County,20850,(301) 424-8717,carolyn.kennedy-piggott@mtcbc.org,Non-TEFAP,39.09291,-77.14419,2025-03-20,N/A,N/A,288,Tuesday,"1:00 PM to Until Food Runs Out; Every week (Note: This distribution is operated by Nourish Now, although held at Mt. Calvary Baptist Church.)",No,No," (Note: This distribution is operated by Nourish Now, although held at Mt. Calvary Baptist Church.)", ,13:00:00,,,23:59:00,,,Every week,"Note: This distribution is operated by Nourish Now, although held at Mt. Calvary Baptist Church.",13:00:00,
19823-PART-01,Royalhouse Chapel International,7911 Braygreen Road,,Laurel,MD,MD Prince George's County,20707,(301) 437-9441,eabakah@royalhousemd.org,Non-TEFAP,39.079134,-76.868556,2025-03-07,N/A,N/A,291,Tuesday,12:30 PM to 2:00 PM; Every week,Yes,No,None, ,12:30:00,,,14:00:00,,,Every week,,12:30:00,14:00:00
22458-PART-01,Destiny Driven,5900 Princess Garden Parkway,,Lanham,MD,MD Prince George's County,20706,(301) 455-5970,destinydriveninternationalceo@gmail.com,Non-TEFAP,38.961544,-76.864,2025-04-18,N/A,N/A,293,Tuesday,10:00 AM to 2:00 PM; Every week,Yes,No,, ,10:00:00,11:00:00,,13:00:00,14:00:00,,Every week,,10:00:00,14:00:00
22458-PART-01,Destiny Driven,5900 Princess Garden Parkway,,Lanham,MD,MD Prince George's County,20706,(301) 455-5970,destinydriveninternationalceo@gmail.com,Non-TEFAP,38.961544,-76.864,2025-04-18,N/A,N/A,293,Tuesday,11:00 AM to 1:00 PM; Every week,,,, ,10:00:00,11:00:00,,13:00:00,14:00:00,,Every week,,11:00:00,13:00:00
